Date,Event,Country,Unique Users
2017-10,All Events - Unique,South Sudan,97
2017-10,All Events - Unique,Sudan,73
2017-10,All Events - Unique,Syria,7
2017-10,All Events - Unique,Ukraine,119
2017-10,All Events - Unique,Venezuela,16
2017-10,All Events - Unique,Yemen,150
2017-11,All Events - Unique,Afghanistan,114
2017-11,All Events - Unique,Congo,86
2017-11,All Events - Unique,Ethiopia,149
2017-11,All Events - Unique,Myanmar,147
2017-11,All Events - Unique,South Sudan,86
2017-11,All Events - Unique,Sudan,76
2017-11,All Events - Unique,Syria,7
2017-11,All Events - Unique,Ukraine,124
2017-11,All Events - Unique,Venezuela,18
2017-11,All Events - Unique,Yemen,153
2017-12,All Events - Unique,Afghanistan,125
2017-12,All Events - Unique,Congo,91
2017-12,All Events - Unique,Ethiopia,155
2017-12,All Events - Unique,Myanmar,106
2017-12,All Events - Unique,South Sudan,56
2017-12,All Events - Unique,Sudan,93
2017-12,All Events - Unique,Syria,6
2017-12,All Events - Unique,Ukraine,84
2017-12,All Events - Unique,Venezuela,5
2017-12,All Events - Unique,Yemen,129
2018-01,All Events - Unique,Afghanistan,161
2018-01,All Events - Unique,Congo,62
2018-01,All Events - Unique,Ethiopia,122
2018-01,All Events - Unique,Myanmar,139
2018-01,All Events - Unique,South Sudan,59
2018-01,All Events - Unique,Sudan,68
2018-01,All Events - Unique,Syria,9
2018-01,All Events - Unique,Ukraine,114
2018-01,All Events - Unique,Venezuela,9
2018-01,All Events - Unique,Yemen,161
2018-02,All Events - Unique,Afghanistan,149
2018-02,All Events - Unique,Congo,121
2018-02,All Events - Unique,Ethiopia,130
2018-02,All Events - Unique,Myanmar,97
2018-02,All Events - Unique,South Sudan,52
2018-02,All Events - Unique,Sudan,46
2018-02,All Events - Unique,Syria,2
2018-02,All Events - Unique,Ukraine,118
2018-02,All Events - Unique,Venezuela,21
2018-02,All Events - Unique,Yemen,161
2018-03,All Events - Unique,Afghanistan,143
2018-03,All Events - Unique,Congo,136
2018-03,All Events - Unique,Ethiopia,179
2018-03,All Events - Unique,Myanmar,178
2018-03,All Events - Unique,South Sudan,80
2018-03,All Events - Unique,Sudan,9
2018-03,All Events - Unique,Syria,3
