Date,Event,Country,Unique Users
2019-07,All Events - Unique,Central African Republic,90
2019-07,All Events - Unique,Ethiopia,742
2019-07,All Events - Unique,Nigeria,1226
2019-07,All Events - Unique,Somalia,640
2019-07,All Events - Unique,South Sudan,218
2019-07,All Events - Unique,Sudan,19
2019-07,All Events - Unique,Syria,15
2019-07,All Events - Unique,Ukraine,312
2019-07,All Events - Unique,Yemen,754
2019-08,All Events - Unique,Afghanistan,305
2019-08,All Events - Unique,Central African Republic,80
2019-08,All Events - Unique,Ethiopia,599
2019-08,All Events - Unique,Nigeria,1163
2019-08,All Events - Unique,Somalia,650
2019-08,All Events - Unique,South Sudan,202
2019-08,All Events - Unique,Sudan,17
2019-08,All Events - Unique,Syria,16
2019-08,All Events - Unique,Ukraine,314
2019-08,All Events - Unique,Yemen,735
2019-09,All Events - Unique,Afghanistan,317
2019-09,All Events - Unique,Central African Republic,78
2019-09,All Events - Unique,Ethiopia,506
2019-09,All Events - Unique,Nigeria,1136
2019-09,All Events - Unique,Somalia,658
2019-09,All Events - Unique,South Sudan,240
2019-09,All Events - Unique,Sudan,19
2019-09,All Events - Unique,Syria,20
2019-09,All Events - Unique,Ukraine,360
2019-09,All Events - Unique,Yemen,691
2019-10,All Events - Unique,Afghanistan,378
2019-10,All Events - Unique,Central African Republic,88
2019-10,All Events - Unique,Ethiopia,570
2019-10,All Events - Unique,Nigeria,1200
2019-10,All Events - Unique,Somalia,808
2019-10,All Events - Unique,South Sudan,321
2019-10,All Events - Unique,Sudan,28
2019-10,All Events - Unique,Syria,15
2019-10,All Events - Unique,Ukraine,375
2019-10,All Events - Unique,Yemen,802
2019-11,All Events - Unique,Afghanistan,371
2019-11,All Events - Unique,Central African Republic,70
2019-11,All Events - Unique,Ethiopia,705
2019-11,All Events - Unique,Nigeria,1357
2019-11,All Events - Unique,Somalia,728
2019-11,All Events - Unique,South Sudan,274
2019-11,All Events - Unique,Sudan,28
2019-11,All Events - Unique,Syria,20
2019-11,All Events - Unique,Ukraine,419
2019-11,All Events - Unique,Yemen,924
2019-12,All Events - Unique,Afghanistan,407
2019-12,All Events - Unique,Central African Republic,74
2019-12,All Events - Unique,Ethiopia,668
2019-12,All Events - Unique,Nigeria,1008
2019-12,All Events - Unique,Somalia,643
2019-12,All Events - Unique,South Sudan,185
2019-12,All Events - Unique,Sudan,32
2019-12,All Events - Unique,Syria,17
2019-12,All Events - Unique,Ukraine,378
2019-12,All Events - Unique,Yemen,869
2020-01,All Events - Unique,Afghanistan,414
2020-01,All Events - Unique,Central African Republic,99
2020-01,All Events - Unique,Ethiopia,616
2020-01,All Events - Unique,Nigeria,1326
2020-01,All Events - Unique,Somalia,660
2020-01,All Events - Unique,South Sudan,183
2020-01,All Events - Unique,Sudan,28
2020-01,All Events - Unique,Syria,24
2020-01,All Events - Unique,Ukraine,380
2020-01,All Events - Unique,Yemen,639
2020-02,All Events - Unique,Afghanistan,396
2020-02,All Events - Unique,Central African Republic,94
2020-02,All Events - Unique,Ethiopia,605
2020-02,All Events - Unique,Nigeria,1238
2020-02,All Events - Unique,Somalia,567
2020-02,All Events - Unique,South Sudan,229
2020-02,All Events - Unique,Sudan,32
2020-02,All Events - Unique,Syria,13
2020-02,All Events - Unique,Ukraine,425
2020-02,All Events - Unique,Yemen,615
2020-03,All Events - Unique,Afghanistan,669
2020-03,All Events - Unique,Central African Republic,101
2020-03,All Events - Unique,Ethiopia,798
2020-03,All Events - Unique,Nigeria,1886
2020-03,All Events - Unique,Somalia,662
2020-03,All Events - Unique,South Sudan,237
2020-03,All Events - Unique,Sudan,62
2020-03,All Events - Unique,Syria,0
